kernel,d,gamma,AUC,recall,precision,accuracy
Gaussian,--,--,0.8916666666666666,0.8833333333333333,0.898663364164006,0.8916666666666666
quantum,1,0.1,0.8770833333333333,0.8833333333333333,0.8740635115635116,0.8770833333333333
quantum,2,0.1,0.8770833333333335,0.8833333333333333,0.8740635115635116,0.8770833333333335
quantum,4,0.1,0.8770833333333332,0.8833333333333333,0.8740635115635116,0.8770833333333332
quantum,6,0.1,0.8770833333333333,0.8833333333333333,0.8740635115635116,0.8770833333333333
quantum,1,0.5,0.9020833333333335,0.9333333333333332,0.8789802244141439,0.9020833333333335
quantum,2,0.5,0.9,0.9458333333333334,0.867263388278703,0.9
quantum,4,0.5,0.9041666666666667,0.9458333333333334,0.8735451986302808,0.9041666666666667
quantum,6,0.5,0.88125,0.9374999999999999,0.843445590582388,0.88125
quantum,1,1.0,0.8979166666666666,0.9500000000000001,0.8628852089767909,0.8979166666666666
quantum,2,1.0,0.8937499999999999,0.9416666666666665,0.861452565522333,0.8937500000000002
quantum,4,1.0,0.8979166666666666,0.9625,0.8531409658402324,0.8979166666666667
quantum,6,1.0,0.8875000000000001,0.975,0.8312870143001589,0.8875000000000001
